Time [s],Channel 1
5.225713250,1
5.225812667,0
5.225912500,1
5.226011917,0
5.226111750,1
5.226211167,0
5.226311000,1
5.226410417,0
5.226510250,1
5.226609708,0
5.226709542,1
5.226808958,0
5.226908792,1
5.227008208,0
5.227108042,1
5.227207458,0
5.227307292,1
5.227406708,0
5.227506542,1
5.227606000,0
5.227705833,1
5.227805250,0
5.227905083,1
5.228004500,0
5.228104333,1
5.228203750,0
5.228303583,1
5.228403042,0
5.228502875,1
5.228602292,0
5.228702125,1
5.228801542,0
5.228901375,1
5.229000833,0
5.229100667,1
5.229200083,0
5.229299917,1
5.229399333,0
5.229499167,1
5.229598625,0
5.229698458,1
5.229797917,0
5.229897708,1
5.229997167,0
5.230097000,1
5.230196417,0
5.230296292,1
5.230395708,0
5.230495542,1
5.230594958,0
5.230694792,1
5.230794250,0
5.230894083,1
5.230993500,0
5.231093375,1
5.231192792,0
5.231292625,1
5.231392042,0
5.231491917,1
5.231591333,0
5.231691167,1
5.231790583,0
5.231890417,1
5.231989875,0
5.232089708,1
5.232189125,0
5.232288958,1
5.232388375,0
5.232488250,1
5.232587667,0
5.232687500,1
5.232786958,0
5.232886750,1
5.232986208,0
5.233086042,1
5.233185458,0
5.233285292,1
5.233384750,0
5.233484583,1
5.233584000,0
5.233683833,1
5.233783250,0
5.233883083,1
5.233982500,0
5.234082333,1
5.234181792,0
5.234281583,1
5.234381042,0
5.234480875,1
5.234580292,0
5.234680125,1
5.234779542,0
5.234879375,1
5.234978792,0
5.235078583,1
5.235178042,0
5.235277875,1
5.235377292,0
5.235477125,1
5.235576542,0
5.235676375,1
5.235775792,0
5.235875625,1
5.235975042,0
5.236074875,1
5.236174333,0
5.236274125,1
5.236373583,0
5.236473375,1
5.236572833,0
5.236672667,1
5.236772083,0
5.236871917,1
5.236971333,0
5.237071125,1
5.237170583,0
5.237270375,1
5.237369833,0
5.237469625,1
5.237571125,0
5.237673042,1
5.237774500,0
5.237876417,1
5.237977917,0
5.238079792,1
5.238181292,0
5.238283208,1
5.238384708,0
5.238486625,1
5.238588083,0
5.238690000,1
5.238791500,0
5.238893417,1
5.238994917,0
5.239096833,1
5.239198333,0
5.239300250,1
5.239401750,0
5.239503625,1
5.239605125,0
5.239707042,1
5.239808542,0
5.239910458,1
5.240011917,0
5.240113833,1
5.240215333,0
5.240317250,1
5.240418708,0
5.240520625,1
5.240622125,0
5.240724042,1
5.240825542,0
5.240927417,1
5.241028917,0
5.241130833,1
5.241232333,0
5.241334208,1
5.241435708,0
5.241537625,1
5.241639125,0
5.241741000,1
5.241842500,0
5.241944417,1
5.242045917,0
5.242147792,1
5.242249292,0
5.242351208,1
